Marketing Part Number,Description
1-173850-1,070 MLC W-W PLUG HSG 8P F/A
1-173851-1,070 MLC W-W PLUG HSG 12P F/A
1-1743086-3,LIF HYB 39P CAP ASSY GRY
1-1743089-3,LIF HYB 39P PLUG ASSY GRY
1-1743095-8,LIF HYB 42P CAP ASSY BLU
1-1743098-8,LIF HYB 42P PLUG ASSY BLU
1-1743184-2,FOG S/W 6P PLUG ASSY
1-1743184-3,FOG S/W 6P PLUG ASSY GRY
1-1743184-4,FOG S/W 6P PLUG ASSY BRN
1-1743184-5,FOG S/W 6P PLUG ASSY
1-1743528-2,LIF HYB 39P CAP ASSY BLK
1-1743611-2,HYBRID 18P PLUG ASSY(DTB) BLK
1-1743652-2,LIF HYB 39P PLUG ASSY(RHD) BLK
1-1743680-2,DTB 21P PLUG ASSY BLK
1-174921-1,070 MLC W-W PLUG HSG 3P F/A
1-174923-1,070 MLC W-W PLUG HSG 6P F/A
1-174931-1,070 MLC W-W CAP HSG 8P F/A
1-174933-1,070 MLC W-W CAP HSG 12P F/A
1-174937-1,070 MLC W-W CAP HSG 8P F/A
1-174938-1,070 MLC W-W CAP HSG 20P F/A
1-174952-1,070 MLC W-W PLUG HSG 20P F/A
1-1897552-2,090 LIF 32P CAP ASSY(BK)
1-1897556-2,090 LIF 32P PLUG ASSY(BK)
1-1897695-3,040 8P CAP ASSY SEAL TYPE GRY
1-368176-1,090 MLC 8P PLUG HSG
1-368178-1,090 MLC 10P PLUG HSG
1-368184-1,090 MLC 16P PLUG HSG
1-368186-1,090 MLC 18P PLUG HSG
1-368188-1,090 MLC 20P PLUG HSG
1-368190-1,090 MLC 22P PLUG HSG
1-85216-1,070/110 11P CAP HSG(D.T.B)
1-936321-2,090/SPT HYB 32P PLUG ASSY BLK
1-936366-1,090/JPT 25P CAP ASSY(DTB-RS)
1-936429-2,HYBRID 42P CAP ASSY BLK
1123357-1,040-3 MLC CAP HSG ASSY 20P
1123360-3,.040-3 MLC CAP HSG ASSY 20P
1123367-3,040-3 MLC CAP HSG ASSY 24P
1123371-1,040-3 MLC PLUG HSG ASSY 16P
